Fecha diagnóstico;Territorio;Medida;Valor;
06/09/2020;Almería;Confirmados PCR;124;
06/09/2020;Almería;Total confirmados;124;
06/09/2020;Almería;Hospitalizados;6;
06/09/2020;Almería;UCI;0;
06/09/2020;Almería;Curados;0;
06/09/2020;Almería;Fallecidos;0;
06/09/2020;Cádiz;Confirmados PCR;107;
06/09/2020;Cádiz;Total confirmados;107;
06/09/2020;Cádiz;Hospitalizados;5;
06/09/2020;Cádiz;UCI;0;
06/09/2020;Cádiz;Curados;1;
06/09/2020;Cádiz;Fallecidos;0;
06/09/2020;Córdoba;Confirmados PCR;23;
06/09/2020;Córdoba;Total confirmados;23;
06/09/2020;Córdoba;Hospitalizados;6;
06/09/2020;Córdoba;UCI;0;
06/09/2020;Córdoba;Curados;0;
06/09/2020;Córdoba;Fallecidos;0;
06/09/2020;Granada;Confirmados PCR;54;
06/09/2020;Granada;Total confirmados;54;
06/09/2020;Granada;Hospitalizados;1;
06/09/2020;Granada;UCI;0;
06/09/2020;Granada;Curados;0;
06/09/2020;Granada;Fallecidos;1;
06/09/2020;Huelva;Confirmados PCR;9;
06/09/2020;Huelva;Total confirmados;9;
06/09/2020;Huelva;Hospitalizados;0;
06/09/2020;Huelva;UCI;0;
06/09/2020;Huelva;Curados;0;
06/09/2020;Huelva;Fallecidos;0;
06/09/2020;Jaén;Confirmados PCR;37;
06/09/2020;Jaén;Total confirmados;38;
06/09/2020;Jaén;Hospitalizados;1;
06/09/2020;Jaén;UCI;0;
06/09/2020;Jaén;Curados;0;
06/09/2020;Jaén;Fallecidos;0;
06/09/2020;Málaga;Confirmados PCR;136;
06/09/2020;Málaga;Total confirmados;136;
06/09/2020;Málaga;Hospitalizados;11;
06/09/2020;Málaga;UCI;1;
06/09/2020;Málaga;Curados;7;
06/09/2020;Málaga;Fallecidos;1;
06/09/2020;Sevilla;Confirmados PCR;82;
06/09/2020;Sevilla;Total confirmados;82;
06/09/2020;Sevilla;Hospitalizados;9;
06/09/2020;Sevilla;UCI;1;
06/09/2020;Sevilla;Curados;0;
06/09/2020;Sevilla;Fallecidos;0;
05/09/2020;Andalucía;Confirmados PCR;753;
05/09/2020;Andalucía;Total confirmados;755;
05/09/2020;Andalucía;Hospitalizados;64;
05/09/2020;Andalucía;UCI;2;
05/09/2020;Andalucía;Curados;3;
05/09/2020;Andalucía;Fallecidos;4;
05/09/2020;Almería;Confirmados PCR;118;
05/09/2020;Almería;Total confirmados;118;
05/09/2020;Almería;Hospitalizados;3;
05/09/2020;Almería;UCI;1;
05/09/2020;Almería;Curados;0;
05/09/2020;Almería;Fallecidos;0;
05/09/2020;Cádiz;Confirmados PCR;85;
05/09/2020;Cádiz;Total confirmados;85;
05/09/2020;Cádiz;Hospitalizados;7;
05/09/2020;Cádiz;UCI;0;
05/09/2020;Cádiz;Curados;0;
05/09/2020;Cádiz;Fallecidos;1;
05/09/2020;Córdoba;Confirmados PCR;95;
05/09/2020;Córdoba;Total confirmados;96;
05/09/2020;Córdoba;Hospitalizados;6;
05/09/2020;Córdoba;UCI;1;
05/09/2020;Córdoba;Curados;0;
05/09/2020;Córdoba;Fallecidos;0;
05/09/2020;Granada;Confirmados PCR;66;
05/09/2020;Granada;Total confirmados;66;
05/09/2020;Granada;Hospitalizados;10;
05/09/2020;Granada;UCI;0;
05/09/2020;Granada;Curados;0;
05/09/2020;Granada;Fallecidos;0;
05/09/2020;Huelva;Confirmados PCR;35;
05/09/2020;Huelva;Total confirmados;35;
05/09/2020;Huelva;Hospitalizados;1;
05/09/2020;Huelva;UCI;0;
05/09/2020;Huelva;Curados;0;
05/09/2020;Huelva;Fallecidos;0;
05/09/2020;Jaén;Confirmados PCR;45;
05/09/2020;Jaén;Total confirmados;45;
05/09/2020;Jaén;Hospitalizados;1;
05/09/2020;Jaén;UCI;0;
05/09/2020;Jaén;Curados;0;
05/09/2020;Jaén;Fallecidos;0;
05/09/2020;Málaga;Confirmados PCR;145;
05/09/2020;Málaga;Total confirmados;146;
05/09/2020;Málaga;Hospitalizados;26;
05/09/2020;Málaga;UCI;0;
05/09/2020;Málaga;Curados;3;
05/09/2020;Málaga;Fallecidos;3;
05/09/2020;Sevilla;Confirmados PCR;164;
05/09/2020;Sevilla;Total confirmados;164;
05/09/2020;Sevilla;Hospitalizados;10;
05/09/2020;Sevilla;UCI;0;
05/09/2020;Sevilla;Curados;0;
05/09/2020;Sevilla;Fallecidos;0;
04/09/2020;Andalucía;Confirmados PCR;1157;
04/09/2020;Andalucía;Total confirmados;1161;
04/09/2020;Andalucía;Hospitalizados;64;
04/09/2020;Andalucía;UCI;3;
04/09/2020;Andalucía;Curados;4;
04/09/2020;Andalucía;Fallecidos;3;
04/09/2020;Almería;Confirmados PCR;157;
04/09/2020;Almería;Total confirmados;157;
04/09/2020;Almería;Hospitalizados;4;
04/09/2020;Almería;UCI;0;
04/09/2020;Almería;Curados;0;
04/09/2020;Almería;Fallecidos;1;
04/09/2020;Cádiz;Confirmados PCR;174;
04/09/2020;Cádiz;Total confirmados;174;
04/09/2020;Cádiz;Hospitalizados;6;
04/09/2020;Cádiz;UCI;0;
04/09/2020;Cádiz;Curados;2;
04/09/2020;Cádiz;Fallecidos;0;
04/09/2020;Córdoba;Confirmados PCR;114;
04/09/2020;Córdoba;Total confirmados;114;
04/09/2020;Córdoba;Hospitalizados;8;
04/09/2020;Córdoba;UCI;1;
04/09/2020;Córdoba;Curados;0;
04/09/2020;Córdoba;Fallecidos;0;
04/09/2020;Granada;Confirmados PCR;97;
04/09/2020;Granada;Total confirmados;97;
04/09/2020;Granada;Hospitalizados;9;
04/09/2020;Granada;UCI;0;
04/09/2020;Granada;Curados;0;
04/09/2020;Granada;Fallecidos;0;
04/09/2020;Huelva;Confirmados PCR;21;
04/09/2020;Huelva;Total confirmados;21;
04/09/2020;Huelva;Hospitalizados;0;
04/09/2020;Huelva;UCI;0;
04/09/2020;Huelva;Curados;0;
04/09/2020;Huelva;Fallecidos;0;
04/09/2020;Jaén;Confirmados PCR;62;
04/09/2020;Jaén;Total confirmados;62;
04/09/2020;Jaén;Hospitalizados;2;
04/09/2020;Jaén;UCI;0;
04/09/2020;Jaén;Curados;0;
04/09/2020;Jaén;Fallecidos;1;
04/09/2020;Málaga;Confirmados PCR;347;
04/09/2020;Málaga;Total confirmados;351;
04/09/2020;Málaga;Hospitalizados;21;
04/09/2020;Málaga;UCI;1;
04/09/2020;Málaga;Curados;2;
04/09/2020;Málaga;Fallecidos;0;
04/09/2020;Sevilla;Confirmados PCR;185;
04/09/2020;Sevilla;Total confirmados;185;
04/09/2020;Sevilla;Hospitalizados;14;
04/09/2020;Sevilla;UCI;1;
04/09/2020;Sevilla;Curados;0;
04/09/2020;Sevilla;Fallecidos;1;
03/09/2020;Andalucía;Confirmados PCR;794;
03/09/2020;Andalucía;Total confirmados;795;
03/09/2020;Andalucía;Hospitalizados;61;
03/09/2020;Andalucía;UCI;4;
03/09/2020;Andalucía;Curados;4;
03/09/2020;Andalucía;Fallecidos;4;
03/09/2020;Almería;Confirmados PCR;129;
03/09/2020;Almería;Total confirmados;130;
03/09/2020;Almería;Hospitalizados;4;
03/09/2020;Almería;UCI;1;
03/09/2020;Almería;Curados;1;
03/09/2020;Almería;Fallecidos;0;
03/09/2020;Cádiz;Confirmados PCR;119;
03/09/2020;Cádiz;Total confirmados;119;
03/09/2020;Cádiz;Hospitalizados;4;
03/09/2020;Cádiz;UCI;1;
03/09/2020;Cádiz;Curados;0;
03/09/2020;Cádiz;Fallecidos;1;
03/09/2020;Córdoba;Confirmados PCR;59;
03/09/2020;Córdoba;Total confirmados;59;
03/09/2020;Córdoba;Hospitalizados;4;
03/09/2020;Córdoba;UCI;0;
03/09/2020;Córdoba;Curados;0;
03/09/2020;Córdoba;Fallecidos;0;
03/09/2020;Granada;Confirmados PCR;92;
03/09/2020;Granada;Total confirmados;92;
03/09/2020;Granada;Hospitalizados;5;
03/09/2020;Granada;UCI;0;
03/09/2020;Granada;Curados;0;
03/09/2020;Granada;Fallecidos;0;
03/09/2020;Huelva;Confirmados PCR;6;
03/09/2020;Huelva;Total confirmados;6;
03/09/2020;Huelva;Hospitalizados;1;
03/09/2020;Huelva;UCI;0;
03/09/2020;Huelva;Curados;0;
03/09/2020;Huelva;Fallecidos;0;
03/09/2020;Jaén;Confirmados PCR;70;
03/09/2020;Jaén;Total confirmados;70;
03/09/2020;Jaén;Hospitalizados;4;
03/09/2020;Jaén;UCI;1;
03/09/2020;Jaén;Curados;0;
03/09/2020;Jaén;Fallecidos;1;
03/09/2020;Málaga;Confirmados PCR;148;
03/09/2020;Málaga;Total confirmados;148;
03/09/2020;Málaga;Hospitalizados;14;
03/09/2020;Málaga;UCI;0;
03/09/2020;Málaga;Curados;3;
03/09/2020;Málaga;Fallecidos;0;
03/09/2020;Sevilla;Confirmados PCR;171;
03/09/2020;Sevilla;Total confirmados;171;
03/09/2020;Sevilla;Hospitalizados;25;
03/09/2020;Sevilla;UCI;1;
03/09/2020;Sevilla;Curados;0;
03/09/2020;Sevilla;Fallecidos;2;
02/09/2020;Andalucía;Confirmados PCR;957;
02/09/2020;Andalucía;Total confirmados;959;
02/09/2020;Andalucía;Hospitalizados;59;
02/09/2020;Andalucía;UCI;4;
02/09/2020;Andalucía;Curados;4;
02/09/2020;Andalucía;Fallecidos;5;
02/09/2020;Almería;Confirmados PCR;166;
02/09/2020;Almería;Total confirmados;167;
02/09/2020;Almería;Hospitalizados;8;
02/09/2020;Almería;UCI;0;
02/09/2020;Almería;Curados;2;
02/09/2020;Almería;Fallecidos;0;
02/09/2020;Cádiz;Confirmados PCR;128;
02/09/2020;Cádiz;Total confirmados;128;
02/09/2020;Cádiz;Hospitalizados;13;
02/09/2020;Cádiz;UCI;1;
02/09/2020;Cádiz;Curados;0;
02/09/2020;Cádiz;Fallecidos;1;
02/09/2020;Córdoba;Confirmados PCR;100;
02/09/2020;Córdoba;Total confirmados;100;
02/09/2020;Córdoba;Hospitalizados;5;
02/09/2020;Córdoba;UCI;2;
02/09/2020;Córdoba;Curados;0;
02/09/2020;Córdoba;Fallecidos;0;
02/09/2020;Granada;Confirmados PCR;118;
02/09/2020;Granada;Total confirmados;119;
02/09/2020;Granada;Hospitalizados;8;
02/09/2020;Granada;UCI;0;
02/09/2020;Granada;Curados;1;
02/09/2020;Granada;Fallecidos;1;
02/09/2020;Huelva;Confirmados PCR;15;
02/09/2020;Huelva;Total confirmados;15;
02/09/2020;Huelva;Hospitalizados;1;
02/09/2020;Huelva;UCI;0;
02/09/2020;Huelva;Curados;0;
02/09/2020;Huelva;Fallecidos;1;
02/09/2020;Jaén;Confirmados PCR;69;
02/09/2020;Jaén;Total confirmados;69;
02/09/2020;Jaén;Hospitalizados;1;
02/09/2020;Jaén;UCI;1;
02/09/2020;Jaén;Curados;0;
02/09/2020;Jaén;Fallecidos;0;
02/09/2020;Málaga;Confirmados PCR;216;
02/09/2020;Málaga;Total confirmados;216;
02/09/2020;Málaga;Hospitalizados;14;
02/09/2020;Málaga;UCI;0;
02/09/2020;Málaga;Curados;1;
02/09/2020;Málaga;Fallecidos;0;
02/09/2020;Sevilla;Confirmados PCR;145;
02/09/2020;Sevilla;Total confirmados;145;
02/09/2020;Sevilla;Hospitalizados;9;
02/09/2020;Sevilla;UCI;0;
02/09/2020;Sevilla;Curados;0;
02/09/2020;Sevilla;Fallecidos;2;
01/09/2020;Andalucía;Confirmados PCR;876;
01/09/2020;Andalucía;Total confirmados;876;
01/09/2020;Andalucía;Hospitalizados;67;
01/09/2020;Andalucía;UCI;2;
01/09/2020;Andalucía;Curados;6;
01/09/2020;Andalucía;Fallecidos;3;
01/09/2020;Almería;Confirmados PCR;112;
01/09/2020;Almería;Total confirmados;112;
01/09/2020;Almería;Hospitalizados;7;
01/09/2020;Almería;UCI;0;
01/09/2020;Almería;Curados;1;
01/09/2020;Almería;Fallecidos;0;
01/09/2020;Cádiz;Confirmados PCR;126;
01/09/2020;Cádiz;Total confirmados;126;
01/09/2020;Cádiz;Hospitalizados;8;
01/09/2020;Cádiz;UCI;0;
01/09/2020;Cádiz;Curados;1;
01/09/2020;Cádiz;Fallecidos;0;
01/09/2020;Córdoba;Confirmados PCR;70;
01/09/2020;Córdoba;Total confirmados;70;
01/09/2020;Córdoba;Hospitalizados;9;
01/09/2020;Córdoba;UCI;0;
01/09/2020;Córdoba;Curados;0;
01/09/2020;Córdoba;Fallecidos;0;
01/09/2020;Granada;Confirmados PCR;124;
01/09/2020;Granada;Total confirmados;124;
01/09/2020;Granada;Hospitalizados;10;
01/09/2020;Granada;UCI;0;
01/09/2020;Granada;Curados;2;
01/09/2020;Granada;Fallecidos;1;
01/09/2020;Huelva;Confirmados PCR;16;
01/09/2020;Huelva;Total confirmados;16;
01/09/2020;Huelva;Hospitalizados;0;
01/09/2020;Huelva;UCI;0;
01/09/2020;Huelva;Curados;0;
01/09/2020;Huelva;Fallecidos;0;
01/09/2020;Jaén;Confirmados PCR;58;
01/09/2020;Jaén;Total confirmados;58;
01/09/2020;Jaén;Hospitalizados;1;
01/09/2020;Jaén;UCI;0;
01/09/2020;Jaén;Curados;0;
01/09/2020;Jaén;Fallecidos;0;
01/09/2020;Málaga;Confirmados PCR;255;
01/09/2020;Málaga;Total confirmados;255;
01/09/2020;Málaga;Hospitalizados;17;
01/09/2020;Málaga;UCI;2;
01/09/2020;Málaga;Curados;2;
01/09/2020;Málaga;Fallecidos;2;
01/09/2020;Sevilla;Confirmados PCR;115;
01/09/2020;Sevilla;Total confirmados;115;
01/09/2020;Sevilla;Hospitalizados;15;
01/09/2020;Sevilla;UCI;0;
01/09/2020;Sevilla;Curados;0;
01/09/2020;Sevilla;Fallecidos;0;
31/08/2020;Andalucía;Confirmados PCR;838;
31/08/2020;Andalucía;Total confirmados;838;
31/08/2020;Andalucía;Hospitalizados;71;
31/08/2020;Andalucía;UCI;7;
31/08/2020;Andalucía;Curados;17;
31/08/2020;Andalucía;Fallecidos;6;
31/08/2020;Almería;Confirmados PCR;140;
31/08/2020;Almería;Total confirmados;140;
31/08/2020;Almería;Hospitalizados;9;
31/08/2020;Almería;UCI;1;
31/08/2020;Almería;Curados;1;
31/08/2020;Almería;Fallecidos;0;
31/08/2020;Cádiz;Confirmados PCR;84;
31/08/2020;Cádiz;Total confirmados;84;
31/08/2020;Cádiz;Hospitalizados;11;
31/08/2020;Cádiz;UCI;1;
31/08/2020;Cádiz;Curados;1;
31/08/2020;Cádiz;Fallecidos;2;
31/08/2020;Córdoba;Confirmados PCR;101;
31/08/2020;Córdoba;Total confirmados;101;
31/08/2020;Córdoba;Hospitalizados;10;
31/08/2020;Córdoba;UCI;1;
31/08/2020;Córdoba;Curados;2;
31/08/2020;Córdoba;Fallecidos;0;
31/08/2020;Granada;Confirmados PCR;67;
31/08/2020;Granada;Total confirmados;67;
31/08/2020;Granada;Hospitalizados;6;
31/08/2020;Granada;UCI;0;
31/08/2020;Granada;Curados;0;
31/08/2020;Granada;Fallecidos;1;
31/08/2020;Huelva;Confirmados PCR;4;
31/08/2020;Huelva;Total confirmados;4;
31/08/2020;Huelva;Hospitalizados;0;
31/08/2020;Huelva;UCI;0;
31/08/2020;Huelva;Curados;0;
31/08/2020;Huelva;Fallecidos;0;
31/08/2020;Jaén;Confirmados PCR;30;
31/08/2020;Jaén;Total confirmados;30;
31/08/2020;Jaén;Hospitalizados;2;
31/08/2020;Jaén;UCI;0;
31/08/2020;Jaén;Curados;0;
31/08/2020;Jaén;Fallecidos;0;
31/08/2020;Málaga;Confirmados PCR;279;
31/08/2020;Málaga;Total confirmados;279;
31/08/2020;Málaga;Hospitalizados;16;
31/08/2020;Málaga;UCI;2;
31/08/2020;Málaga;Curados;13;
31/08/2020;Málaga;Fallecidos;1;
31/08/2020;Sevilla;Confirmados PCR;133;
31/08/2020;Sevilla;Total confirmados;133;
31/08/2020;Sevilla;Hospitalizados;17;
31/08/2020;Sevilla;UCI;2;
31/08/2020;Sevilla;Curados;0;
31/08/2020;Sevilla;Fallecidos;2;
30/08/2020;Andalucía;Confirmados PCR;747;
30/08/2020;Andalucía;Total confirmados;750;
30/08/2020;Andalucía;Hospitalizados;52;
30/08/2020;Andalucía;UCI;5;
30/08/2020;Andalucía;Curados;5;
30/08/2020;Andalucía;Fallecidos;5;
30/08/2020;Almería;Confirmados PCR;114;
30/08/2020;Almería;Total confirmados;115;
30/08/2020;Almería;Hospitalizados;10;
30/08/2020;Almería;UCI;1;
30/08/2020;Almería;Curados;1;
30/08/2020;Almería;Fallecidos;1;
30/08/2020;Cádiz;Confirmados PCR;67;
30/08/2020;Cádiz;Total confirmados;67;
30/08/2020;Cádiz;Hospitalizados;5;
30/08/2020;Cádiz;UCI;2;
30/08/2020;Cádiz;Curados;0;
30/08/2020;Cádiz;Fallecidos;0;
30/08/2020;Córdoba;Confirmados PCR;42;
30/08/2020;Córdoba;Total confirmados;42;
30/08/2020;Córdoba;Hospitalizados;6;
30/08/2020;Córdoba;UCI;1;
30/08/2020;Córdoba;Curados;2;
30/08/2020;Córdoba;Fallecidos;0;
30/08/2020;Granada;Confirmados PCR;73;
30/08/2020;Granada;Total confirmados;73;
30/08/2020;Granada;Hospitalizados;8;
30/08/2020;Granada;UCI;0;
30/08/2020;Granada;Curados;0;
30/08/2020;Granada;Fallecidos;1;
30/08/2020;Huelva;Confirmados PCR;16;
30/08/2020;Huelva;Total confirmados;17;
30/08/2020;Huelva;Hospitalizados;0;
30/08/2020;Huelva;UCI;0;
30/08/2020;Huelva;Curados;0;
30/08/2020;Huelva;Fallecidos;0;
30/08/2020;Jaén;Confirmados PCR;37;
30/08/2020;Jaén;Total confirmados;37;
30/08/2020;Jaén;Hospitalizados;1;
30/08/2020;Jaén;UCI;0;
30/08/2020;Jaén;Curados;0;
30/08/2020;Jaén;Fallecidos;0;
30/08/2020;Málaga;Confirmados PCR;299;
30/08/2020;Málaga;Total confirmados;300;
30/08/2020;Málaga;Hospitalizados;14;
30/08/2020;Málaga;UCI;0;
30/08/2020;Málaga;Curados;1;
30/08/2020;Málaga;Fallecidos;1;
