Fecha;Edad;Medida;Valor;
03/03/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
03/03/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
03/03/2022;De 40 a 49 años;Cobertura Pauta completa;91,3;
03/03/2022;De 30 a 39 años;Cobertura Pauta completa;84,8;
03/03/2022;De 20 a 29 años;Cobertura Pauta completa;87,4;
03/03/2022;De 12 a 19 años;Cobertura Pauta completa;87,9;
03/03/2022;De 5 a 11 años;Cobertura Pauta completa;21,9;
02/03/2022;De 80 y más;Cobertura Pauta completa;114,8;
02/03/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
02/03/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
02/03/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
02/03/2022;De 40 a 49 años;Cobertura Pauta completa;91,3;
02/03/2022;De 30 a 39 años;Cobertura Pauta completa;84,8;
02/03/2022;De 20 a 29 años;Cobertura Pauta completa;87,4;
02/03/2022;De 12 a 19 años;Cobertura Pauta completa;87,9;
02/03/2022;De 5 a 11 años;Cobertura Pauta completa;21,5;
01/03/2022;De 80 y más;Cobertura Pauta completa;114,8;
01/03/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
01/03/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
01/03/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
01/03/2022;De 40 a 49 años;Cobertura Pauta completa;91,3;
01/03/2022;De 30 a 39 años;Cobertura Pauta completa;84,8;
01/03/2022;De 20 a 29 años;Cobertura Pauta completa;87,4;
01/03/2022;De 12 a 19 años;Cobertura Pauta completa;87,7;
01/03/2022;De 5 a 11 años;Cobertura Pauta completa;20,8;
28/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
28/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
28/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
28/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,6;
28/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,3;
28/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,8;
28/02/2022;De 20 a 29 años;Cobertura Pauta completa;87,4;
28/02/2022;De 12 a 19 años;Cobertura Pauta completa;87,7;
28/02/2022;De 5 a 11 años;Cobertura Pauta completa;20,8;
25/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
25/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
25/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
25/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
25/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,3;
25/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,8;
25/02/2022;De 20 a 29 años;Cobertura Pauta completa;87,3;
25/02/2022;De 12 a 19 años;Cobertura Pauta completa;87,7;
25/02/2022;De 5 a 11 años;Cobertura Pauta completa;20,6;
24/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
24/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
24/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
24/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
24/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,3;
24/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,7;
24/02/2022;De 20 a 29 años;Cobertura Pauta completa;87,3;
24/02/2022;De 12 a 19 años;Cobertura Pauta completa;87,6;
24/02/2022;De 5 a 11 años;Cobertura Pauta completa;20,1;
23/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
23/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
23/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
23/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
23/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,3;
23/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,7;
23/02/2022;De 20 a 29 años;Cobertura Pauta completa;87,3;
23/02/2022;De 12 a 19 años;Cobertura Pauta completa;87,4;
23/02/2022;De 5 a 11 años;Cobertura Pauta completa;19,4;
22/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
22/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
22/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
22/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
22/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,3;
22/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,7;
22/02/2022;De 20 a 29 años;Cobertura Pauta completa;87,2;
22/02/2022;De 12 a 19 años;Cobertura Pauta completa;87,3;
22/02/2022;De 5 a 11 años;Cobertura Pauta completa;18,6;
21/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
21/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
21/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
21/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
21/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,2;
21/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,6;
21/02/2022;De 20 a 29 años;Cobertura Pauta completa;87,2;
21/02/2022;De 12 a 19 años;Cobertura Pauta completa;87,1;
21/02/2022;De 5 a 11 años;Cobertura Pauta completa;17,9;
18/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
18/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
18/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,6;
18/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
18/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,2;
18/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,6;
18/02/2022;De 20 a 29 años;Cobertura Pauta completa;87,1;
18/02/2022;De 12 a 19 años;Cobertura Pauta completa;87;
18/02/2022;De 5 a 11 años;Cobertura Pauta completa;17,7;
17/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
17/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
17/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,5;
17/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
17/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,2;
17/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,6;
17/02/2022;De 20 a 29 años;Cobertura Pauta completa;87,1;
17/02/2022;De 12 a 19 años;Cobertura Pauta completa;86,8;
17/02/2022;De 5 a 11 años;Cobertura Pauta completa;16,8;
16/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
16/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
16/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,5;
16/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
16/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,2;
16/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,5;
16/02/2022;De 20 a 29 años;Cobertura Pauta completa;87;
16/02/2022;De 12 a 19 años;Cobertura Pauta completa;86,4;
16/02/2022;De 5 a 11 años;Cobertura Pauta completa;15,3;
15/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
15/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,4;
15/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,5;
15/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,5;
15/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,2;
15/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,5;
15/02/2022;De 20 a 29 años;Cobertura Pauta completa;87;
15/02/2022;De 12 a 19 años;Cobertura Pauta completa;85,8;
15/02/2022;De 5 a 11 años;Cobertura Pauta completa;14;
14/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
14/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,3;
14/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,5;
14/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,4;
14/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,1;
14/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,5;
14/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,9;
14/02/2022;De 12 a 19 años;Cobertura Pauta completa;85,2;
14/02/2022;De 5 a 11 años;Cobertura Pauta completa;12,5;
11/02/2022;De 80 y más;Cobertura Pauta completa;114,8;
11/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,3;
11/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,5;
11/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,4;
11/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,1;
11/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,4;
11/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,8;
11/02/2022;De 12 a 19 años;Cobertura Pauta completa;83,7;
11/02/2022;De 5 a 11 años;Cobertura Pauta completa;9;
10/02/2022;De 80 y más;Cobertura Pauta completa;114,7;
10/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,3;
10/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,5;
10/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,4;
10/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,1;
10/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,4;
10/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,8;
10/02/2022;De 12 a 19 años;Cobertura Pauta completa;82,8;
10/02/2022;De 5 a 11 años;Cobertura Pauta completa;7,3;
09/02/2022;De 80 y más;Cobertura Pauta completa;114,7;
09/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,3;
09/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,5;
09/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,4;
09/02/2022;De 40 a 49 años;Cobertura Pauta completa;91,1;
09/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,3;
09/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,7;
09/02/2022;De 12 a 19 años;Cobertura Pauta completa;81,8;
09/02/2022;De 5 a 11 años;Cobertura Pauta completa;5,6;
08/02/2022;De 80 y más;Cobertura Pauta completa;114,7;
08/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,3;
08/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,4;
08/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,4;
08/02/2022;De 40 a 49 años;Cobertura Pauta completa;91;
08/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,3;
08/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,6;
08/02/2022;De 12 a 19 años;Cobertura Pauta completa;81,7;
08/02/2022;De 5 a 11 años;Cobertura Pauta completa;5,6;
07/02/2022;De 80 y más;Cobertura Pauta completa;114,7;
07/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,3;
07/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,4;
07/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,3;
07/02/2022;De 40 a 49 años;Cobertura Pauta completa;91;
07/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,2;
07/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,6;
07/02/2022;De 12 a 19 años;Cobertura Pauta completa;81,7;
07/02/2022;De 5 a 11 años;Cobertura Pauta completa;5,6;
04/02/2022;De 80 y más;Cobertura Pauta completa;114,7;
04/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,3;
04/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,4;
04/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,3;
04/02/2022;De 40 a 49 años;Cobertura Pauta completa;91;
04/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,1;
04/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,5;
04/02/2022;De 12 a 19 años;Cobertura Pauta completa;81,6;
04/02/2022;De 5 a 11 años;Cobertura Pauta completa;5,5;
03/02/2022;De 80 y más;Cobertura Pauta completa;114,7;
03/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,3;
03/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,4;
03/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,3;
03/02/2022;De 40 a 49 años;Cobertura Pauta completa;90,9;
03/02/2022;De 30 a 39 años;Cobertura Pauta completa;84,1;
03/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,4;
03/02/2022;De 12 a 19 años;Cobertura Pauta completa;81,6;
03/02/2022;De 5 a 11 años;Cobertura Pauta completa;5,5;
02/02/2022;De 80 y más;Cobertura Pauta completa;114,7;
02/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,2;
02/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,4;
02/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,3;
02/02/2022;De 40 a 49 años;Cobertura Pauta completa;90,9;
02/02/2022;De 30 a 39 años;Cobertura Pauta completa;84;
02/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,3;
02/02/2022;De 12 a 19 años;Cobertura Pauta completa;81,5;
02/02/2022;De 5 a 11 años;Cobertura Pauta completa;5,5;
01/02/2022;De 80 y más;Cobertura Pauta completa;114,7;
01/02/2022;De 70 a 79 años;Cobertura Pauta completa;107,2;
01/02/2022;De 60 a 69 años;Cobertura Pauta completa;102,4;
01/02/2022;De 50 a 59 años;Cobertura Pauta completa;97,3;
01/02/2022;De 40 a 49 años;Cobertura Pauta completa;90,9;
01/02/2022;De 30 a 39 años;Cobertura Pauta completa;84;
01/02/2022;De 20 a 29 años;Cobertura Pauta completa;86,3;
01/02/2022;De 12 a 19 años;Cobertura Pauta completa;81,5;
01/02/2022;De 5 a 11 años;Cobertura Pauta completa;5,4;
31/01/2022;De 80 y más;Cobertura Pauta completa;105,2;
31/01/2022;De 70 a 79 años;Cobertura Pauta completa;102;
31/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,4;
31/01/2022;De 50 a 59 años;Cobertura Pauta completa;97,3;
31/01/2022;De 40 a 49 años;Cobertura Pauta completa;92;
31/01/2022;De 30 a 39 años;Cobertura Pauta completa;84,1;
31/01/2022;De 20 a 29 años;Cobertura Pauta completa;86,1;
31/01/2022;De 12 a 19 años;Cobertura Pauta completa;92,4;
31/01/2022;De 5 a 11 años;Cobertura Pauta completa;6,7;
28/01/2022;De 80 y más;Cobertura Pauta completa;105,2;
28/01/2022;De 70 a 79 años;Cobertura Pauta completa;102;
28/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,3;
28/01/2022;De 50 a 59 años;Cobertura Pauta completa;97,2;
28/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,9;
28/01/2022;De 30 a 39 años;Cobertura Pauta completa;84;
28/01/2022;De 20 a 29 años;Cobertura Pauta completa;86;
28/01/2022;De 12 a 19 años;Cobertura Pauta completa;92,4;
28/01/2022;De 5 a 11 años;Cobertura Pauta completa;6,7;
27/01/2022;De 80 y más;Cobertura Pauta completa;105,2;
27/01/2022;De 70 a 79 años;Cobertura Pauta completa;102;
27/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,3;
27/01/2022;De 50 a 59 años;Cobertura Pauta completa;97,2;
27/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,9;
27/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,9;
27/01/2022;De 20 a 29 años;Cobertura Pauta completa;86;
27/01/2022;De 12 a 19 años;Cobertura Pauta completa;92,3;
27/01/2022;De 5 a 11 años;Cobertura Pauta completa;6,6;
26/01/2022;De 80 y más;Cobertura Pauta completa;105,2;
26/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,9;
26/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,3;
26/01/2022;De 50 a 59 años;Cobertura Pauta completa;97,2;
26/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,8;
26/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,8;
26/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,8;
26/01/2022;De 12 a 19 años;Cobertura Pauta completa;92,2;
26/01/2022;De 5 a 11 años;Cobertura Pauta completa;5,8;
25/01/2022;De 80 y más;Cobertura Pauta completa;105,1;
25/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,9;
25/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,2;
25/01/2022;De 50 a 59 años;Cobertura Pauta completa;97,1;
25/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,8;
25/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,7;
25/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,7;
25/01/2022;De 12 a 19 años;Cobertura Pauta completa;92,1;
25/01/2022;De 5 a 11 años;Cobertura Pauta completa;5,8;
24/01/2022;De 80 y más;Cobertura Pauta completa;105,1;
24/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,9;
24/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,2;
24/01/2022;De 50 a 59 años;Cobertura Pauta completa;97,1;
24/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,8;
24/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,7;
24/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,6;
24/01/2022;De 12 a 19 años;Cobertura Pauta completa;92;
24/01/2022;De 5 a 11 años;Cobertura Pauta completa;5,7;
21/01/2022;De 80 y más;Cobertura Pauta completa;105,1;
21/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,9;
21/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,2;
21/01/2022;De 50 a 59 años;Cobertura Pauta completa;97,1;
21/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,7;
21/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,6;
21/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,6;
21/01/2022;De 12 a 19 años;Cobertura Pauta completa;92;
21/01/2022;De 5 a 11 años;Cobertura Pauta completa;5,6;
20/01/2022;De 80 y más;Cobertura Pauta completa;105,1;
20/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,9;
20/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,2;
20/01/2022;De 50 a 59 años;Cobertura Pauta completa;97;
20/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,7;
20/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,6;
20/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,5;
20/01/2022;De 12 a 19 años;Cobertura Pauta completa;91,9;
20/01/2022;De 5 a 11 años;Cobertura Pauta completa;5,4;
19/01/2022;De 80 y más;Cobertura Pauta completa;105,1;
19/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,8;
19/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,1;
19/01/2022;De 50 a 59 años;Cobertura Pauta completa;97;
19/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,6;
19/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,5;
19/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,4;
19/01/2022;De 12 a 19 años;Cobertura Pauta completa;91,8;
19/01/2022;De 5 a 11 años;Cobertura Pauta completa;5,2;
18/01/2022;De 80 y más;Cobertura Pauta completa;105,1;
18/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,8;
18/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,1;
18/01/2022;De 50 a 59 años;Cobertura Pauta completa;96,9;
18/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,6;
18/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,4;
18/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,3;
18/01/2022;De 12 a 19 años;Cobertura Pauta completa;91,7;
18/01/2022;De 5 a 11 años;Cobertura Pauta completa;5,1;
17/01/2022;De 80 y más;Cobertura Pauta completa;105,1;
17/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,8;
17/01/2022;De 60 a 69 años;Cobertura Pauta completa;103,1;
17/01/2022;De 50 a 59 años;Cobertura Pauta completa;96,9;
17/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,5;
17/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,3;
17/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,2;
17/01/2022;De 12 a 19 años;Cobertura Pauta completa;91,6;
17/01/2022;De 5 a 11 años;Cobertura Pauta completa;4,9;
14/01/2022;De 80 y más;Cobertura Pauta completa;105,1;
14/01/2022;De 70 a 79 años;Cobertura Pauta completa;101,8;
14/01/2022;De 60 a 69 años;Cobertura Pauta completa;103;
14/01/2022;De 50 a 59 años;Cobertura Pauta completa;96,9;
14/01/2022;De 40 a 49 años;Cobertura Pauta completa;91,5;
14/01/2022;De 30 a 39 años;Cobertura Pauta completa;83,3;
14/01/2022;De 20 a 29 años;Cobertura Pauta completa;85,1;
14/01/2022;De 12 a 19 años;Cobertura Pauta completa;91,5;
14/01/2022;De 5 a 11 años;Cobertura Pauta completa;4,6;
29/12/2021;De 80 y más;Cobertura Pauta completa;105;
29/12/2021;De 70 a 79 años;Cobertura Pauta completa;101,6;
29/12/2021;De 60 a 69 años;Cobertura Pauta completa;102,6;
29/12/2021;De 50 a 59 años;Cobertura Pauta completa;96,5;
29/12/2021;De 40 a 49 años;Cobertura Pauta completa;91;
29/12/2021;De 30 a 39 años;Cobertura Pauta completa;82,5;
29/12/2021;De 20 a 29 años;Cobertura Pauta completa;84,1;
29/12/2021;De 12 a 19 años;Cobertura Pauta completa;90,4;
29/12/2021;De 5 a 11 años;Cobertura Pauta completa;2,9;
28/12/2021;De 80 y más;Cobertura Pauta completa;104,9;
28/12/2021;De 70 a 79 años;Cobertura Pauta completa;101,5;
28/12/2021;De 60 a 69 años;Cobertura Pauta completa;102,5;
28/12/2021;De 50 a 59 años;Cobertura Pauta completa;96,5;
28/12/2021;De 40 a 49 años;Cobertura Pauta completa;91;
28/12/2021;De 30 a 39 años;Cobertura Pauta completa;82,4;
28/12/2021;De 20 a 29 años;Cobertura Pauta completa;84;
28/12/2021;De 12 a 19 años;Cobertura Pauta completa;90,3;
28/12/2021;De 5 a 11 años;Cobertura Pauta completa;2,7;
27/12/2021;De 80 y más;Cobertura Pauta completa;104,9;
27/12/2021;De 70 a 79 años;Cobertura Pauta completa;101,5;
27/12/2021;De 60 a 69 años;Cobertura Pauta completa;102,5;
27/12/2021;De 50 a 59 años;Cobertura Pauta completa;96,4;
27/12/2021;De 40 a 49 años;Cobertura Pauta completa;90,9;
27/12/2021;De 30 a 39 años;Cobertura Pauta completa;82,3;
27/12/2021;De 20 a 29 años;Cobertura Pauta completa;83,8;
27/12/2021;De 12 a 19 años;Cobertura Pauta completa;90,1;
27/12/2021;De 5 a 11 años;Cobertura Pauta completa;2,6;
23/12/2021;De 80 y más;Cobertura Pauta completa;104,9;
23/12/2021;De 70 a 79 años;Cobertura Pauta completa;101,5;
23/12/2021;De 60 a 69 años;Cobertura Pauta completa;102,4;
23/12/2021;De 50 a 59 años;Cobertura Pauta completa;96,4;
23/12/2021;De 40 a 49 años;Cobertura Pauta completa;90,8;
23/12/2021;De 30 a 39 años;Cobertura Pauta completa;82,2;
23/12/2021;De 20 a 29 años;Cobertura Pauta completa;83,6;
23/12/2021;De 12 a 19 años;Cobertura Pauta completa;89,9;
23/12/2021;De 5 a 11 años;Cobertura Pauta completa;2,5;
22/12/2021;De 80 y más;Cobertura Pauta completa;104,9;
22/12/2021;De 70 a 79 años;Cobertura Pauta completa;101,4;
22/12/2021;De 60 a 69 años;Cobertura Pauta completa;102,3;
22/12/2021;De 50 a 59 años;Cobertura Pauta completa;96,3;
22/12/2021;De 40 a 49 años;Cobertura Pauta completa;90,8;
22/12/2021;De 30 a 39 años;Cobertura Pauta completa;82,1;
22/12/2021;De 20 a 29 años;Cobertura Pauta completa;83,3;
22/12/2021;De 12 a 19 años;Cobertura Pauta completa;89,7;
22/12/2021;De 5 a 11 años;Cobertura Pauta completa;2,2;
21/12/2021;De 80 y más;Cobertura Pauta completa;104,9;
21/12/2021;De 70 a 79 años;Cobertura Pauta completa;101,4;
21/12/2021;De 60 a 69 años;Cobertura Pauta completa;102,3;
21/12/2021;De 50 a 59 años;Cobertura Pauta completa;96,3;
21/12/2021;De 40 a 49 años;Cobertura Pauta completa;90,7;
21/12/2021;De 30 a 39 años;Cobertura Pauta completa;82;
21/12/2021;De 20 a 29 años;Cobertura Pauta completa;83,2;
21/12/2021;De 12 a 19 años;Cobertura Pauta completa;89,6;
21/12/2021;De 5 a 11 años;Cobertura Pauta completa;2;
20/12/2021;De 80 y más;Cobertura Pauta completa;104,9;
20/12/2021;De 70 a 79 años;Cobertura Pauta completa;101,4;
