Lugar de residencia;Edad;Medida;Valor;
Albanchez;De 50 a 59 años;Nº personas;92;
Albanchez;De 50 a 59 años;% Personas;75,40983606557377;
Albanchez;De 40 a 49 años;Nº personas;64;
Albanchez;De 40 a 49 años;% Personas;66,66666666666667;
Albanchez;De 30 a 39 años;Nº personas;31;
Albanchez;De 30 a 39 años;% Personas;75,60975609756098;
Albanchez;De 20 a 29 años;Nº personas;36;
Albanchez;De 20 a 29 años;% Personas;85,71428571428571;
Albanchez;De 12 a 19 años;Nº personas;36;
Albanchez;De 12 a 19 años;% Personas;81,81818181818181;
Albanchez;De 5 a 11 años;Nº personas;5;
Albanchez;De 5 a 11 años;% Personas;17,24137931034483;
Alboloduy;TOTAL;Nº personas;424;
Alboloduy;TOTAL;% Personas;69,28104575163398;
Alboloduy;De 80 y más años;Nº personas;74;
Alboloduy;De 80 y más años;% Personas;98,66666666666667;
Alboloduy;De 70 a 79 años;Nº personas;67;
Alboloduy;De 70 a 79 años;% Personas;88,15789473684211;
Alboloduy;De 60 a 69 años;Nº personas;62;
Alboloduy;De 60 a 69 años;% Personas;68,88888888888889;
Alboloduy;De 50 a 59 años;Nº personas;52;
Alboloduy;De 50 a 59 años;% Personas;59,09090909090909;
Alboloduy;De 40 a 49 años;Nº personas;63;
Alboloduy;De 40 a 49 años;% Personas;66,3157894736842;
Alboloduy;De 30 a 39 años;Nº personas;41;
Alboloduy;De 30 a 39 años;% Personas;62,121212121212125;
Alboloduy;De 20 a 29 años;Nº personas;31;
Alboloduy;De 20 a 29 años;% Personas;75,60975609756098;
Alboloduy;De 12 a 19 años;Nº personas;30;
Alboloduy;De 12 a 19 años;% Personas;103,44827586206897;
Alboloduy;De 5 a 11 años;Nº personas;4;
Alboloduy;De 5 a 11 años;% Personas;12,903225806451612;
Albox;TOTAL;Nº personas;10094;
Albox;TOTAL;% Personas;83,6288318144159;
Albox;De 80 y más años;Nº personas;709;
Albox;De 80 y más años;% Personas;106,2968515742129;
Albox;De 70 a 79 años;Nº personas;1228;
Albox;De 70 a 79 años;% Personas;118,76208897485493;
Albox;De 60 a 69 años;Nº personas;1456;
Albox;De 60 a 69 años;% Personas;99,31787175989086;
Albox;De 50 a 59 años;Nº personas;1545;
Albox;De 50 a 59 años;% Personas;94,37996334758705;
Albox;De 40 a 49 años;Nº personas;1679;
Albox;De 40 a 49 años;% Personas;92,96788482834994;
Albox;De 30 a 39 años;Nº personas;1371;
Albox;De 30 a 39 años;% Personas;83,0909090909091;
Albox;De 20 a 29 años;Nº personas;1052;
Albox;De 20 a 29 años;% Personas;79,33634992458522;
Albox;De 12 a 19 años;Nº personas;818;
Albox;De 12 a 19 años;% Personas;79,96089931573802;
Albox;De 5 a 11 años;Nº personas;236;
Albox;De 5 a 11 años;% Personas;26,909920182440136;
Alcolea;TOTAL;Nº personas;628;
Alcolea;TOTAL;% Personas;73,96937573616019;
Alcolea;De 80 y más años;Nº personas;68;
Alcolea;De 80 y más años;% Personas;91,89189189189189;
Alcolea;De 70 a 79 años;Nº personas;53;
Alcolea;De 70 a 79 años;% Personas;72,6027397260274;
Alcolea;De 60 a 69 años;Nº personas;120;
Alcolea;De 60 a 69 años;% Personas;82,1917808219178;
Alcolea;De 50 a 59 años;Nº personas;128;
Alcolea;De 50 a 59 años;% Personas;76,64670658682634;
Alcolea;De 40 a 49 años;Nº personas;59;
Alcolea;De 40 a 49 años;% Personas;71,08433734939759;
Alcolea;De 30 a 39 años;Nº personas;77;
Alcolea;De 30 a 39 años;% Personas;98,71794871794872;
Alcolea;De 20 a 29 años;Nº personas;87;
Alcolea;De 20 a 29 años;% Personas;79,0909090909091;
Alcolea;De 12 a 19 años;Nº personas;28;
Alcolea;De 12 a 19 años;% Personas;59,57446808510638;
Alcolea;De 5 a 11 años;Nº personas;8;
Alcolea;De 5 a 11 años;% Personas;24,242424242424242;
Alcóntar;TOTAL;Nº personas;399;
Alcóntar;TOTAL;% Personas;73,61623616236163;
Alcóntar;De 80 y más años;Nº personas;67;
Alcóntar;De 80 y más años;% Personas;101,51515151515152;
Alcóntar;De 70 a 79 años;Nº personas;62;
Alcóntar;De 70 a 79 años;% Personas;88,57142857142857;
Alcóntar;De 60 a 69 años;Nº personas;60;
Alcóntar;De 60 a 69 años;% Personas;69,76744186046511;
Alcóntar;De 50 a 59 años;Nº personas;73;
Alcóntar;De 50 a 59 años;% Personas;69,52380952380952;
Alcóntar;De 40 a 49 años;Nº personas;39;
Alcóntar;De 40 a 49 años;% Personas;65;
Alcóntar;De 30 a 39 años;Nº personas;31;
Alcóntar;De 30 a 39 años;% Personas;67,3913043478261;
Alcóntar;De 20 a 29 años;Nº personas;40;
Alcóntar;De 20 a 29 años;% Personas;72,72727272727273;
Alcóntar;De 12 a 19 años;Nº personas;23;
Alcóntar;De 12 a 19 años;% Personas;95,83333333333333;
Alcóntar;De 5 a 11 años;Nº personas;4;
Alcóntar;De 5 a 11 años;% Personas;20;
Alcudia de Monteagud;TOTAL;Nº personas;44;
Alcudia de Monteagud;TOTAL;% Personas;34,10852713178294;
Alcudia de Monteagud;De 80 y más años;Nº personas;2;
Alcudia de Monteagud;De 80 y más años;% Personas;33,333333333333336;
Alcudia de Monteagud;De 70 a 79 años;Nº personas;12;
Alcudia de Monteagud;De 70 a 79 años;% Personas;54,54545454545455;
Alcudia de Monteagud;De 60 a 69 años;Nº personas;9;
Alcudia de Monteagud;De 60 a 69 años;% Personas;31,03448275862069;
Alcudia de Monteagud;De 50 a 59 años;Nº personas;6;
Alcudia de Monteagud;De 50 a 59 años;% Personas;31,57894736842105;
Alcudia de Monteagud;De 40 a 49 años;Nº personas;3;
Alcudia de Monteagud;De 40 a 49 años;% Personas;14,285714285714286;
Alcudia de Monteagud;De 30 a 39 años;Nº personas;6;
Alcudia de Monteagud;De 30 a 39 años;% Personas;50;
Alcudia de Monteagud;De 20 a 29 años;Nº personas;3;
Alcudia de Monteagud;De 20 a 29 años;% Personas;23,076923076923077;
Alcudia de Monteagud;De 12 a 19 años;Nº personas;3;
Alcudia de Monteagud;De 12 a 19 años;% Personas;75;
Alcudia de Monteagud;De 5 a 11 años;Nº personas;;
Alcudia de Monteagud;De 5 a 11 años;% Personas;;
Alhabia;TOTAL;Nº personas;516;
Alhabia;TOTAL;% Personas;76,44444444444444;
Alhabia;De 80 y más años;Nº personas;40;
Alhabia;De 80 y más años;% Personas;88,88888888888889;
Alhabia;De 70 a 79 años;Nº personas;59;
Alhabia;De 70 a 79 años;% Personas;105,35714285714286;
Alhabia;De 60 a 69 años;Nº personas;73;
Alhabia;De 60 a 69 años;% Personas;93,58974358974359;
Alhabia;De 50 a 59 años;Nº personas;87;
Alhabia;De 50 a 59 años;% Personas;86,13861386138613;
Alhabia;De 40 a 49 años;Nº personas;100;
Alhabia;De 40 a 49 años;% Personas;81,30081300813008;
Alhabia;De 30 a 39 años;Nº personas;54;
Alhabia;De 30 a 39 años;% Personas;64,28571428571429;
Alhabia;De 20 a 29 años;Nº personas;59;
Alhabia;De 20 a 29 años;% Personas;67,04545454545455;
Alhabia;De 12 a 19 años;Nº personas;38;
Alhabia;De 12 a 19 años;% Personas;92,6829268292683;
Alhabia;De 5 a 11 años;Nº personas;6;
Alhabia;De 5 a 11 años;% Personas;20;
Alhama de Almería;TOTAL;Nº personas;3345;
Alhama de Almería;TOTAL;% Personas;89,60621484061078;
Alhama de Almería;De 80 y más años;Nº personas;423;
Alhama de Almería;De 80 y más años;% Personas;174,07407407407408;
Alhama de Almería;De 70 a 79 años;Nº personas;326;
Alhama de Almería;De 70 a 79 años;% Personas;114,78873239436619;
Alhama de Almería;De 60 a 69 años;Nº personas;437;
Alhama de Almería;De 60 a 69 años;% Personas;106,84596577017115;
Alhama de Almería;De 50 a 59 años;Nº personas;526;
Alhama de Almería;De 50 a 59 años;% Personas;96,69117647058823;
Alhama de Almería;De 40 a 49 años;Nº personas;539;
Alhama de Almería;De 40 a 49 años;% Personas;94,39579684763572;
Alhama de Almería;De 30 a 39 años;Nº personas;432;
Alhama de Almería;De 30 a 39 años;% Personas;87,09677419354838;
Alhama de Almería;De 20 a 29 años;Nº personas;352;
Alhama de Almería;De 20 a 29 años;% Personas;79,45823927765237;
Alhama de Almería;De 12 a 19 años;Nº personas;254;
Alhama de Almería;De 12 a 19 años;% Personas;95,1310861423221;
Alhama de Almería;De 5 a 11 años;Nº personas;56;
Alhama de Almería;De 5 a 11 años;% Personas;20,07168458781362;
Alicún;TOTAL;Nº personas;165;
Alicún;TOTAL;% Personas;80,88235294117646;
Alicún;De 80 y más años;Nº personas;20;
Alicún;De 80 y más años;% Personas;111,11111111111111;
Alicún;De 70 a 79 años;Nº personas;20;
Alicún;De 70 a 79 años;% Personas;90,9090909090909;
Alicún;De 60 a 69 años;Nº personas;24;
Alicún;De 60 a 69 años;% Personas;75;
Alicún;De 50 a 59 años;Nº personas;29;
Alicún;De 50 a 59 años;% Personas;82,85714285714286;
Alicún;De 40 a 49 años;Nº personas;22;
Alicún;De 40 a 49 años;% Personas;84,61538461538461;
Alicún;De 30 a 39 años;Nº personas;14;
Alicún;De 30 a 39 años;% Personas;82,3529411764706;
Alicún;De 20 a 29 años;Nº personas;16;
Alicún;De 20 a 29 años;% Personas;53,333333333333336;
Alicún;De 12 a 19 años;Nº personas;17;
Alicún;De 12 a 19 años;% Personas;106,25;
Alicún;De 5 a 11 años;Nº personas;3;
Alicún;De 5 a 11 años;% Personas;37,5;
Almería (capital);TOTAL;Nº personas;180174;
Almería (capital);TOTAL;% Personas;89,74909465861033;
Almería (capital);De 80 y más años;Nº personas;10825;
Almería (capital);De 80 y más años;% Personas;116,53568737216062;
Almería (capital);De 70 a 79 años;Nº personas;16278;
Almería (capital);De 70 a 79 años;% Personas;114,0554932735426;
Almería (capital);De 60 a 69 años;Nº personas;23875;
Almería (capital);De 60 a 69 años;% Personas;107,5595801234401;
Almería (capital);De 50 a 59 años;Nº personas;29799;
Almería (capital);De 50 a 59 años;% Personas;103,22502424830262;
Almería (capital);De 40 a 49 años;Nº personas;32553;
Almería (capital);De 40 a 49 años;% Personas;100,25562057283646;
Almería (capital);De 30 a 39 años;Nº personas;25529;
Almería (capital);De 30 a 39 años;% Personas;91,81111990217939;
Almería (capital);De 20 a 29 años;Nº personas;20907;
Almería (capital);De 20 a 29 años;% Personas;92,66465738852939;
Almería (capital);De 12 a 19 años;Nº personas;16346;
Almería (capital);De 12 a 19 años;% Personas;90,38429637821399;
Almería (capital);De 5 a 11 años;Nº personas;4060;
Almería (capital);De 5 a 11 años;% Personas;26,16485145324483;
Almócita;TOTAL;Nº personas;90;
Almócita;TOTAL;% Personas;45,68527918781726;
Almócita;De 80 y más años;Nº personas;9;
Almócita;De 80 y más años;% Personas;64,28571428571429;
Almócita;De 70 a 79 años;Nº personas;14;
Almócita;De 70 a 79 años;% Personas;116,66666666666667;
Almócita;De 60 a 69 años;Nº personas;21;
Almócita;De 60 a 69 años;% Personas;51,21951219512195;
Almócita;De 50 a 59 años;Nº personas;19;
Almócita;De 50 a 59 años;% Personas;47,5;
Almócita;De 40 a 49 años;Nº personas;10;
Almócita;De 40 a 49 años;% Personas;30,303030303030305;
Almócita;De 30 a 39 años;Nº personas;7;
Almócita;De 30 a 39 años;% Personas;35;
Almócita;De 20 a 29 años;Nº personas;7;
Almócita;De 20 a 29 años;% Personas;38,888888888888886;
Almócita;De 12 a 19 años;Nº personas;2;
Almócita;De 12 a 19 años;% Personas;33,333333333333336;
Almócita;De 5 a 11 años;Nº personas;1;
Almócita;De 5 a 11 años;% Personas;14,285714285714286;
Alsodux;TOTAL;Nº personas;39;
Alsodux;TOTAL;% Personas;29,770992366412212;
Alsodux;De 80 y más años;Nº personas;3;
Alsodux;De 80 y más años;% Personas;25;
Alsodux;De 70 a 79 años;Nº personas;11;
Alsodux;De 70 a 79 años;% Personas;68,75;
Alsodux;De 60 a 69 años;Nº personas;8;
Alsodux;De 60 a 69 años;% Personas;32;
Alsodux;De 50 a 59 años;Nº personas;13;
Alsodux;De 50 a 59 años;% Personas;38,23529411764706;
Alsodux;De 40 a 49 años;Nº personas;1;
Alsodux;De 40 a 49 años;% Personas;7,6923076923076925;
Alsodux;De 30 a 39 años;Nº personas;1;
Alsodux;De 30 a 39 años;% Personas;7,142857142857143;
Alsodux;De 20 a 29 años;Nº personas;1;
Alsodux;De 20 a 29 años;% Personas;11,11111111111111;
Alsodux;De 12 a 19 años;Nº personas;1;
Alsodux;De 12 a 19 años;% Personas;20;
Alsodux;De 5 a 11 años;Nº personas;;
Alsodux;De 5 a 11 años;% Personas;;
Antas;TOTAL;Nº personas;2862;
Antas;TOTAL;% Personas;85,30551415797318;
Antas;De 80 y más años;Nº personas;220;
Antas;De 80 y más años;% Personas;108,91089108910892;
Antas;De 70 a 79 años;Nº personas;255;
Antas;De 70 a 79 años;% Personas;100,7905138339921;
Antas;De 60 a 69 años;Nº personas;366;
Antas;De 60 a 69 años;% Personas;98,12332439678285;
Antas;De 50 a 59 años;Nº personas;520;
Antas;De 50 a 59 años;% Personas;98,29867674858222;
Antas;De 40 a 49 años;Nº personas;526;
Antas;De 40 a 49 años;% Personas;99,43289224952741;
Antas;De 30 a 39 años;Nº personas;379;
Antas;De 30 a 39 años;% Personas;85,36036036036036;
Antas;De 20 a 29 años;Nº personas;317;
Antas;De 20 a 29 años;% Personas;82,76762402088772;
Antas;De 12 a 19 años;Nº personas;222;
Antas;De 12 a 19 años;% Personas;89,1566265060241;
Antas;De 5 a 11 años;Nº personas;57;
Antas;De 5 a 11 años;% Personas;25;
Arboleas;TOTAL;Nº personas;3013;
Arboleas;TOTAL;% Personas;64,31163287086446;
Arboleas;De 80 y más años;Nº personas;307;
Arboleas;De 80 y más años;% Personas;107,71929824561404;
Arboleas;De 70 a 79 años;Nº personas;789;
Arboleas;De 70 a 79 años;% Personas;79,93920972644376;
Arboleas;De 60 a 69 años;Nº personas;710;
Arboleas;De 60 a 69 años;% Personas;57,39692805173807;
Arboleas;De 50 a 59 años;Nº personas;452;
Arboleas;De 50 a 59 años;% Personas;55,054811205846526;
Arboleas;De 40 a 49 años;Nº personas;250;
Arboleas;De 40 a 49 años;% Personas;58,41121495327103;
Arboleas;De 30 a 39 años;Nº personas;182;
Arboleas;De 30 a 39 años;% Personas;66,42335766423358;
Arboleas;De 20 a 29 años;Nº personas;155;
Arboleas;De 20 a 29 años;% Personas;65,95744680851064;
Arboleas;De 12 a 19 años;Nº personas;128;
Arboleas;De 12 a 19 años;% Personas;63,366336633663366;
Arboleas;De 5 a 11 años;Nº personas;40;
Arboleas;De 5 a 11 años;% Personas;27,210884353741495;
Armuña de Almanzora;TOTAL;Nº personas;212;
Armuña de Almanzora;TOTAL;% Personas;67,73162939297124;
Armuña de Almanzora;De 80 y más años;Nº personas;25;
Armuña de Almanzora;De 80 y más años;% Personas;108,69565217391305;
Armuña de Almanzora;De 70 a 79 años;Nº personas;33;
Armuña de Almanzora;De 70 a 79 años;% Personas;89,1891891891892;
Armuña de Almanzora;De 60 a 69 años;Nº personas;26;
Armuña de Almanzora;De 60 a 69 años;% Personas;65;
Armuña de Almanzora;De 50 a 59 años;Nº personas;40;
Armuña de Almanzora;De 50 a 59 años;% Personas;66,66666666666667;
Armuña de Almanzora;De 40 a 49 años;Nº personas;27;
Armuña de Almanzora;De 40 a 49 años;% Personas;71,05263157894737;
Armuña de Almanzora;De 30 a 39 años;Nº personas;27;
Armuña de Almanzora;De 30 a 39 años;% Personas;72,97297297297297;
Armuña de Almanzora;De 20 a 29 años;Nº personas;14;
Armuña de Almanzora;De 20 a 29 años;% Personas;42,42424242424242;
Armuña de Almanzora;De 12 a 19 años;Nº personas;18;
Armuña de Almanzora;De 12 a 19 años;% Personas;69,23076923076923;
Armuña de Almanzora;De 5 a 11 años;Nº personas;2;
Armuña de Almanzora;De 5 a 11 años;% Personas;12,5;
Bacares;TOTAL;Nº personas;197;
Bacares;TOTAL;% Personas;79,11646586345381;
Bacares;De 80 y más años;Nº personas;38;
Bacares;De 80 y más años;% Personas;118,75;
Bacares;De 70 a 79 años;Nº personas;41;
Bacares;De 70 a 79 años;% Personas;95,34883720930233;
Bacares;De 60 a 69 años;Nº personas;40;
Bacares;De 60 a 69 años;% Personas;72,72727272727273;
Bacares;De 50 a 59 años;Nº personas;25;
Bacares;De 50 a 59 años;% Personas;71,42857142857143;
Bacares;De 40 a 49 años;Nº personas;13;
Bacares;De 40 a 49 años;% Personas;61,904761904761905;
Bacares;De 30 a 39 años;Nº personas;16;
Bacares;De 30 a 39 años;% Personas;80;
Bacares;De 20 a 29 años;Nº personas;14;
Bacares;De 20 a 29 años;% Personas;58,333333333333336;
Bacares;De 12 a 19 años;Nº personas;8;
Bacares;De 12 a 19 años;% Personas;72,72727272727273;
Bacares;De 5 a 11 años;Nº personas;2;
Bacares;De 5 a 11 años;% Personas;33,333333333333336;
Balanegra;TOTAL;Nº personas;1689;
Balanegra;TOTAL;% Personas;57,08009462656303;
Balanegra;De 80 y más años;Nº personas;51;
Balanegra;De 80 y más años;% Personas;57,95454545454545;
Balanegra;De 70 a 79 años;Nº personas;62;
Balanegra;De 70 a 79 años;% Personas;41,891891891891895;
Balanegra;De 60 a 69 años;Nº personas;165;
Balanegra;De 60 a 69 años;% Personas;63,706563706563706;
Balanegra;De 50 a 59 años;Nº personas;275;
Balanegra;De 50 a 59 años;% Personas;59,012875536480685;
Balanegra;De 40 a 49 años;Nº personas;314;
Balanegra;De 40 a 49 años;% Personas;59,24528301886792;
Balanegra;De 30 a 39 años;Nº personas;308;
Balanegra;De 30 a 39 años;% Personas;71,96261682242991;
Balanegra;De 20 a 29 años;Nº personas;322;
Balanegra;De 20 a 29 años;% Personas;77,77777777777777;
Balanegra;De 12 a 19 años;Nº personas;172;
Balanegra;De 12 a 19 años;% Personas;63,46863468634686;
Balanegra;De 5 a 11 años;Nº personas;20;
Balanegra;De 5 a 11 años;% Personas;9,049773755656108;
Bayárcal;TOTAL;Nº personas;174;
Bayárcal;TOTAL;% Personas;54,889589905362776;
Bayárcal;De 80 y más años;Nº personas;14;
Bayárcal;De 80 y más años;% Personas;66,66666666666667;
Bayárcal;De 70 a 79 años;Nº personas;28;
Bayárcal;De 70 a 79 años;% Personas;90,3225806451613;
Bayárcal;De 60 a 69 años;Nº personas;32;
Bayárcal;De 60 a 69 años;% Personas;62,745098039215684;
Bayárcal;De 50 a 59 años;Nº personas;32;
Bayárcal;De 50 a 59 años;% Personas;60,37735849056604;
Bayárcal;De 40 a 49 años;Nº personas;21;
Bayárcal;De 40 a 49 años;% Personas;36,8421052631579;
Bayárcal;De 30 a 39 años;Nº personas;15;
Bayárcal;De 30 a 39 años;% Personas;38,46153846153846;
Bayárcal;De 20 a 29 años;Nº personas;17;
Bayárcal;De 20 a 29 años;% Personas;54,83870967741935;
Bayárcal;De 12 a 19 años;Nº personas;12;
Bayárcal;De 12 a 19 años;% Personas;92,3076923076923;
Bayárcal;De 5 a 11 años;Nº personas;3;
Bayárcal;De 5 a 11 años;% Personas;37,5;
Bayarque;TOTAL;Nº personas;171;
Bayarque;TOTAL;% Personas;78,08219178082192;
Bayarque;De 80 y más años;Nº personas;25;
Bayarque;De 80 y más años;% Personas;131,57894736842104;
Bayarque;De 70 a 79 años;Nº personas;32;
Bayarque;De 70 a 79 años;% Personas;96,96969696969697;
Bayarque;De 60 a 69 años;Nº personas;23;
Bayarque;De 60 a 69 años;% Personas;62,16216216216216;
Bayarque;De 50 a 59 años;Nº personas;30;
Bayarque;De 50 a 59 años;% Personas;76,92307692307692;
Bayarque;De 40 a 49 años;Nº personas;23;
Bayarque;De 40 a 49 años;% Personas;74,19354838709677;
Bayarque;De 30 a 39 años;Nº personas;12;
Bayarque;De 30 a 39 años;% Personas;66,66666666666667;
Bayarque;De 20 a 29 años;Nº personas;13;
Bayarque;De 20 a 29 años;% Personas;92,85714285714286;
Bayarque;De 12 a 19 años;Nº personas;13;
Bayarque;De 12 a 19 años;% Personas;72,22222222222223;
Bayarque;De 5 a 11 años;Nº personas;0;
Bayarque;De 5 a 11 años;% Personas;0;
Bédar;TOTAL;Nº personas;713;
Bédar;TOTAL;% Personas;73,20328542094455;
Bédar;De 80 y más años;Nº personas;79;
Bédar;De 80 y más años;% Personas;102,59740259740259;
Bédar;De 70 a 79 años;Nº personas;171;
Bédar;De 70 a 79 años;% Personas;89,52879581151832;
Bédar;De 60 a 69 años;Nº personas;166;
Bédar;De 60 a 69 años;% Personas;69,16666666666667;
Bédar;De 50 a 59 años;Nº personas;106;
Bédar;De 50 a 59 años;% Personas;60,57142857142857;
Bédar;De 40 a 49 años;Nº personas;74;
Bédar;De 40 a 49 años;% Personas;71,84466019417475;
Bédar;De 30 a 39 años;Nº personas;42;
Bédar;De 30 a 39 años;% Personas;71,1864406779661;
Bédar;De 20 a 29 años;Nº personas;42;
Bédar;De 20 a 29 años;% Personas;67,74193548387096;
Bédar;De 12 a 19 años;Nº personas;29;
Bédar;De 12 a 19 años;% Personas;80,55555555555556;
Bédar;De 5 a 11 años;Nº personas;4;
Bédar;De 5 a 11 años;% Personas;18,181818181818183;
Beires;TOTAL;Nº personas;79;
Beires;TOTAL;% Personas;59,84848484848485;
Beires;De 80 y más años;Nº personas;16;
Beires;De 80 y más años;% Personas;64;
Beires;De 70 a 79 años;Nº personas;8;
Beires;De 70 a 79 años;% Personas;42,10526315789474;
Beires;De 60 a 69 años;Nº personas;17;
Beires;De 60 a 69 años;% Personas;80,95238095238095;
Beires;De 50 a 59 años;Nº personas;15;
Beires;De 50 a 59 años;% Personas;53,57142857142857;
Beires;De 40 a 49 años;Nº personas;14;
Beires;De 40 a 49 años;% Personas;87,5;
Beires;De 30 a 39 años;Nº personas;;
Beires;De 30 a 39 años;% Personas;;
Beires;De 20 a 29 años;Nº personas;4;
Beires;De 20 a 29 años;% Personas;44,44444444444444;
Beires;De 12 a 19 años;Nº personas;5;
Beires;De 12 a 19 años;% Personas;166,66666666666666;
Beires;De 5 a 11 años;Nº personas;;
Beires;De 5 a 11 años;% Personas;;
Benahadux;TOTAL;Nº personas;3709;
